,filepaths,pipelines,groups,contrast
0,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,1000,right-hand
1,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,1000,right-hand
2,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-24-0_con.nii,fsl-5-24-0,1000,right-hand
3,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-24-1_con.nii,fsl-5-24-1,1000,right-hand
4,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-6-0_con.nii,fsl-5-6-0,1000,right-hand
5,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-6-1_con.nii,fsl-5-6-1,1000,right-hand
6,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-0-0_con.nii,fsl-8-0-0,1000,right-hand
7,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-0-1_con.nii,fsl-8-0-1,1000,right-hand
8,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-24-0_con.nii,fsl-8-24-0,1000,right-hand
9,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-24-1_con.nii,fsl-8-24-1,1000,right-hand
10,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-6-0_con.nii,fsl-8-6-0,1000,right-hand
11,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-8-6-1_con.nii,fsl-8-6-1,1000,right-hand
12,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-0_con.nii,spm-5-0-0,1000,right-hand
13,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-1_con.nii,spm-5-0-1,1000,right-hand
14,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-24-0_con.nii,spm-5-24-0,1000,right-hand
15,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-24-1_con.nii,spm-5-24-1,1000,right-hand
16,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-6-0_con.nii,spm-5-6-0,1000,right-hand
17,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-6-1_con.nii,spm-5-6-1,1000,right-hand
18,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-0-0_con.nii,spm-8-0-0,1000,right-hand
19,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-0-1_con.nii,spm-8-0-1,1000,right-hand
20,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-24-0_con.nii,spm-8-24-0,1000,right-hand
21,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-24-1_con.nii,spm-8-24-1,1000,right-hand
22,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-6-0_con.nii,spm-8-6-0,1000,right-hand
23,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-8-6-1_con.nii,spm-8-6-1,1000,right-hand
24,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,100,right-hand
25,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,100,right-hand
26,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-24-0_con.nii,fsl-5-24-0,100,right-hand
27,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-24-1_con.nii,fsl-5-24-1,100,right-hand
28,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-6-0_con.nii,fsl-5-6-0,100,right-hand
29,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-6-1_con.nii,fsl-5-6-1,100,right-hand
30,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-0-0_con.nii,fsl-8-0-0,100,right-hand
31,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-0-1_con.nii,fsl-8-0-1,100,right-hand
32,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-24-0_con.nii,fsl-8-24-0,100,right-hand
33,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-8-24-1_con.nii,fsl-8-24-1,100,right-hand
